id,pagina,slug,seccion,componente,tipo_contenido,estado,fuente,responsable,prioridad,notas
HOME-01,Home,/,Meta,SEO,meta_title,listo,derivado,Evoltia,P0,"44 caracteres"
HOME-02,Home,/,Meta,SEO,meta_description,listo,derivado,Evoltia,P0,"149 caracteres"
HOME-03,Home,/,Hero,Hero,etiqueta,listo,manual §07,Evoltia,P0,"Bajada descriptiva del logo: CONSULTORIA & TRANSFORMACION DIGITAL"
HOME-04,Home,/,Hero,Hero,h1_claim,listo,manual §07,Evoltia,P0,"Claim literal. No se edita. Dos lineas. Punto en Magenta Pulso"
HOME-05,Home,/,Hero,Hero,bajada,listo,pieza web-hero,Evoltia,P0,"Literal de web-hero-1920x720.png"
HOME-06,Home,/,Hero,Button,cta_primario,listo,pieza web-hero,Evoltia,P0,"Agenda un diagnostico. Fija el registro voseo de todo el sitio"
HOME-07,Home,/,Hero,Button,cta_secundario,listo,derivado,Evoltia,P0,"Como trabajamos"
HOME-08,Home,/,Hero,Hero,microcopy,listo,cliente,Evoltia,P0,"Confirmado por el cliente: primera conversacion sin costo, respuesta en 48 h habiles"
HOME-09,Home,/,Confianza,LogoBar,logo_aberturas_fisa,pendiente_archivo,cliente,Cliente,P1,"Unico cliente a publicar. Falta el archivo en site/assets/img/clientes/aberturas-fisa.png. El caso de estudio se trabaja en otra iteracion"
HOME-10,Home,/,Problema,SectionHeader,h2_frase,listo,manual §07-A,Evoltia,P0,"Toda empresa esta en orbita."
HOME-11,Home,/,Problema,Grafismo,cadena_separador,listo,manual §05,Evoltia,P0,"Cadena de tres nodos a -46 grados como separador"
HOME-12,Home,/,Problema,SectionHeader,bajada,listo,manual §01,Evoltia,P0,"Del manifiesto"
HOME-13,Home,/,Problema,FeatureCard,tarjeta_1,listo,manual §06,Evoltia,P0,"La informacion vive en seis planillas. Ejemplo literal de asi si"
